--- Ambient Noise Diagnosis (RSSI Noise) ---
Normal Mode activated. Waiting for module...
[15:52:41] Ambient noise (Noise Floor): -66 dBm
[15:52:44] Ambient noise (Noise Floor): -66 dBm
[15:52:46] Ambient noise (Noise Floor): -65 dBm
[15:52:48] Ambient noise (Noise Floor): -65 dBm
[15:52:50] Ambient noise (Noise Floor): -65 dBm
[15:52:53] Ambient noise (Noise Floor): -66 dBm
[15:52:55] Ambient noise (Noise Floor): -66 dBm
[15:52:57] Ambient noise (Noise Floor): -65 dBm
[15:52:59] Ambient noise (Noise Floor): -65 dBm
[15:53:02] Ambient noise (Noise Floor): -65 dBm
[15:53:04] Ambient noise (Noise Floor): -65 dBm
[15:53:06] Ambient noise (Noise Floor): -66 dBm
[15:53:08] Ambient noise (Noise Floor): -65 dBm
[15:53:11] Ambient noise (Noise Floor): -65 dBm
[15:53:13] Ambient noise (Noise Floor): -65 dBm
[15:53:15] Ambient noise (Noise Floor): -66 dBm
[15:53:17] Ambient noise (Noise Floor): -66 dBm
[15:53:20] Ambient noise (Noise Floor): -66 dBm
[15:53:22] Ambient noise (Noise Floor): -65 dBm
[15:53:24] Ambient noise (Noise Floor): -64 dBm
[15:53:26] Ambient noise (Noise Floor): -66 dBm
[15:53:29] Ambient noise (Noise Floor): -64 dBm
[15:53:31] Ambient noise (Noise Floor): -65 dBm
[15:53:33] Ambient noise (Noise Floor): -65 dBm
[15:53:35] Ambient noise (Noise Floor): -63 dBm
[15:53:38] Ambient noise (Noise Floor): -62 dBm
[15:53:40] Ambient noise (Noise Floor): -66 dBm
[15:53:42] Ambient noise (Noise Floor): -71 dBm
[15:53:44] Ambient noise (Noise Floor): -81 dBm
[15:53:47] Ambient noise (Noise Floor): -82 dBm
[15:53:49] Ambient noise (Noise Floor): -83 dBm
[15:53:51] Ambient noise (Noise Floor): -78 dBm
[15:53:53] Ambient noise (Noise Floor): -84 dBm
[15:53:55] Ambient noise (Noise Floor): -80 dBm
[15:53:58] Ambient noise (Noise Floor): -81 dBm
[15:54:00] Ambient noise (Noise Floor): -82 dBm
[15:54:02] Ambient noise (Noise Floor): -73 dBm
[15:54:04] Ambient noise (Noise Floor): -73 dBm
[15:54:07] Ambient noise (Noise Floor): -71 dBm
[15:54:09] Ambient noise (Noise Floor): -72 dBm
[15:54:11] Ambient noise (Noise Floor): -71 dBm
[15:54:13] Ambient noise (Noise Floor): -69 dBm
[15:54:16] Ambient noise (Noise Floor): -70 dBm
[15:54:18] Ambient noise (Noise Floor): -69 dBm
[15:54:20] Ambient noise (Noise Floor): -68 dBm
[15:54:22] Ambient noise (Noise Floor): -69 dBm
[15:54:25] Ambient noise (Noise Floor): -68 dBm
[15:54:27] Ambient noise (Noise Floor): -72 dBm
[15:54:29] Ambient noise (Noise Floor): -68 dBm
[15:54:32] Ambient noise (Noise Floor): -69 dBm
[15:54:34] Ambient noise (Noise Floor): -68 dBm
[15:54:36] Ambient noise (Noise Floor): -68 dBm
[15:54:38] Ambient noise (Noise Floor): -68 dBm
[15:54:41] Ambient noise (Noise Floor): -68 dBm
[15:54:43] Ambient noise (Noise Floor): -69 dBm
[15:54:45] Ambient noise (Noise Floor): -68 dBm
[15:54:47] Ambient noise (Noise Floor): -69 dBm
[15:54:50] Ambient noise (Noise Floor): -68 dBm
[15:54:52] Ambient noise (Noise Floor): -65 dBm
[15:54:54] Ambient noise (Noise Floor): -60 dBm
[15:54:56] Ambient noise (Noise Floor): -62 dBm
[15:54:59] Ambient noise (Noise Floor): -64 dBm
[15:55:01] Ambient noise (Noise Floor): -65 dBm
[15:55:03] Ambient noise (Noise Floor): -67 dBm
[15:55:05] Ambient noise (Noise Floor): -66 dBm
[15:55:08] Ambient noise (Noise Floor): -62 dBm
[15:55:10] Ambient noise (Noise Floor): -62 dBm
[15:55:12] Ambient noise (Noise Floor): -60 dBm
[15:55:14] Ambient noise (Noise Floor): -63 dBm
[15:55:16] Ambient noise (Noise Floor): -64 dBm
[15:55:19] Ambient noise (Noise Floor): -63 dBm
[15:55:21] Ambient noise (Noise Floor): -66 dBm
[15:55:23] Ambient noise (Noise Floor): -60 dBm
[15:55:26] Ambient noise (Noise Floor): -65 dBm
[15:55:29] Ambient noise (Noise Floor): -63 dBm
[15:55:31] Ambient noise (Noise Floor): -67 dBm
